country,year,renewable_capacity_gw,green_employment_thousands
India,2015,36.2,27.3
India,2016,42.0,23.1
India,2017,47.3,40.9
India,2018,53.1,38.5
India,2019,62.0,55.7
India,2020,69.6,51.2
India,2021,82.5,65.6
India,2022,91.6,85.3
India,2023,105.4,68.0
India,2024,122.7,76.7
China,2015,500.6,457.0
China,2016,543.0,423.3
China,2017,633.4,449.5
China,2018,739.5,550.6
China,2019,828.3,726.5
China,2020,969.7,807.0
China,2021,1125.3,631.2
China,2022,1292.9,1058.6
China,2023,1454.5,1115.3
China,2024,1739.1,1490.3
United States,2015,183.6,158.4
United States,2016,209.5,168.5
United States,2017,224.2,169.4
United States,2018,245.1,206.1
United States,2019,263.3,175.7
United States,2020,296.4,230.9
United States,2021,322.6,235.1
United States,2022,342.7,188.0
United States,2023,369.5,265.1
United States,2024,412.8,257.8
Germany,2015,93.2,64.1
Germany,2016,97.4,62.7
Germany,2017,100.6,96.0
Germany,2018,107.6,75.2
Germany,2019,115.3,92.0
Germany,2020,122.6,70.9
Germany,2021,132.7,85.5
Germany,2022,139.0,80.0
Germany,2023,146.8,124.5
Germany,2024,155.5,120.4
Brazil,2015,119.5,86.5
Brazil,2016,135.3,93.9
Brazil,2017,146.5,111.3
Brazil,2018,150.8,109.9
Brazil,2019,168.1,87.1
Brazil,2020,175.6,157.9
Brazil,2021,201.3,153.4
Brazil,2022,204.9,153.6
Brazil,2023,222.1,163.3
Brazil,2024,243.2,215.8
Japan,2015,87.7,62.0
Japan,2016,91.5,61.5
Japan,2017,100.5,90.4
Japan,2018,100.9,61.6
Japan,2019,105.4,70.6
Japan,2020,114.2,80.9
Japan,2021,118.8,89.7
Japan,2022,122.2,73.5
Japan,2023,126.8,121.1
Japan,2024,140.8,126.9
United Kingdom,2015,34.2,23.4
United Kingdom,2016,36.4,26.0
United Kingdom,2017,40.9,25.1
United Kingdom,2018,41.7,27.1
United Kingdom,2019,46.1,30.7
United Kingdom,2020,48.9,34.0
United Kingdom,2021,53.5,39.8
United Kingdom,2022,58.7,37.8
United Kingdom,2023,63.7,38.1
United Kingdom,2024,66.8,50.0
Vietnam,2015,5.0,3.9
Vietnam,2016,6.6,4.1
Vietnam,2017,8.6,6.1
Vietnam,2018,11.6,10.8
Vietnam,2019,15.0,8.5
Vietnam,2020,20.1,12.0
Vietnam,2021,26.6,27.2
Vietnam,2022,34.3,27.7
Vietnam,2023,45.5,26.9
Vietnam,2024,59.9,46.5
South Africa,2015,4.0,3.1
South Africa,2016,4.6,3.4
South Africa,2017,5.4,3.3
South Africa,2018,6.4,6.5
South Africa,2019,7.6,6.1
South Africa,2020,9.5,6.3
South Africa,2021,11.0,6.6
South Africa,2022,12.7,7.5
South Africa,2023,15.0,9.0
South Africa,2024,17.9,14.8
Spain,2015,47.3,35.6
Spain,2016,50.5,28.5
Spain,2017,58.2,46.2
Spain,2018,59.9,42.5
Spain,2019,64.9,58.1
Spain,2020,73.0,45.0
Spain,2021,79.5,73.1
Spain,2022,86.4,68.7
Spain,2023,93.5,72.0
Spain,2024,105.1,76.3
Australia,2015,15.1,9.7
Australia,2016,16.5,12.8
Australia,2017,18.9,12.9
Australia,2018,22.2,18.0
Australia,2019,26.0,25.9
Australia,2020,29.6,24.6
Australia,2021,33.2,28.5
Australia,2022,37.6,26.2
Australia,2023,41.8,34.3
Australia,2024,49.9,32.0
Mexico,2015,22.3,20.6
Mexico,2016,23.6,22.1
Mexico,2017,27.0,22.2
Mexico,2018,29.3,22.3
Mexico,2019,32.4,25.9
Mexico,2020,33.8,25.8
Mexico,2021,39.3,26.3
Mexico,2022,42.4,23.3
Mexico,2023,48.6,41.2
Mexico,2024,51.3,44.2
