state,renewable_capacity_mw,sdg_index_score,green_job_share_pct,predicted_sdg,residual
Gujarat,25100,72,8.4,71.73346369144724,0.2665363085527588
Rajasthan,24800,68,7.9,68.34391552744114,-0.3439155274411405
Tamil Nadu,21300,75,8.1,73.18282449222762,1.817175507772376
Karnataka,13800,74,7.2,73.77840694240916,0.22159305759083736
Maharashtra,12200,70,6.8,72.37533249708557,-2.375332497085566
Andhra Pradesh,10400,69,6.1,68.95777274285656,0.04222725714343767
Madhya Pradesh,8300,63,5.2,64.35758602850942,-1.3575860285094166
Kerala,3200,78,6.5,78.82802656741208,-0.8280265674120812
Himachal Pradesh,2600,77,5.9,74.9914918445838,2.0085081554161945
Uttar Pradesh,5100,60,4.3,60.81579673656625,-0.8157967365662486
Punjab,2200,66,4.6,65.81303841770108,0.18696158229892035
Bihar,900,55,2.8,53.822344511759894,1.1776554882401058
